Mobility_Surrogate_Key,Accurate_Episode_Date,Metro_Area,Province,Subregion,Retail_And_Recreation,Grocery_And_Pharmacy,Parks,Transit_Stations,Workplaces,Residential
179,2020-08-26,,Ontario,Toronto Division,-28.0,-12.0,49.0,-54.0,-51.0,16.0
180,2020-08-27,,Ontario,Toronto Division,-26.0,-5.0,80.0,-52.0,-50.0,15.0
181,2020-08-28,,Ontario,Toronto Division,-28.0,-8.0,79.0,-49.0,-50.0,14.0
182,2020-08-29,,Ontario,Toronto Division,-26.0,-8.0,103.0,-32.0,-10.0,3.0
183,2020-08-30,,Ontario,Toronto Division,-22.0,-11.0,142.0,-28.0,-9.0,0.0
184,2020-08-31,,Ontario,Toronto Division,-24.0,-7.0,92.0,-51.0,-52.0,13.0
185,2020-09-01,,Ontario,Toronto Division,-25.0,-6.0,95.0,-50.0,-52.0,14.0
186,2020-09-02,,Ontario,Toronto Division,-25.0,-8.0,62.0,-53.0,-52.0,15.0
187,2020-09-03,,Ontario,Toronto Division,-23.0,-4.0,92.0,-50.0,-50.0,14.0
188,2020-09-04,,Ontario,Toronto Division,-24.0,-5.0,82.0,-48.0,-50.0,13.0
189,2020-09-05,,Ontario,Toronto Division,-26.0,-11.0,100.0,-33.0,-12.0,2.0
190,2020-09-06,,Ontario,Toronto Division,-19.0,-9.0,138.0,-28.0,-12.0,-1.0
191,2020-09-07,,Ontario,Toronto Division,-53.0,-48.0,67.0,-71.0,-81.0,21.0
192,2020-09-08,,Ontario,Toronto Division,-25.0,1.0,33.0,-53.0,-52.0,14.0
193,2020-09-09,,Ontario,Toronto Division,-27.0,-7.0,43.0,-53.0,-51.0,15.0
194,2020-09-10,,Ontario,Toronto Division,-25.0,-3.0,60.0,-51.0,-49.0,15.0
195,2020-09-11,,Ontario,Toronto Division,-26.0,-7.0,68.0,-48.0,-48.0,14.0
196,2020-09-12,,Ontario,Toronto Division,-22.0,-6.0,125.0,-30.0,-6.0,3.0
197,2020-09-13,,Ontario,Toronto Division,-23.0,-10.0,85.0,-34.0,-10.0,3.0
198,2020-09-14,,Ontario,Toronto Division,-26.0,-7.0,57.0,-53.0,-48.0,15.0
199,2020-09-15,,Ontario,Toronto Division,-25.0,-6.0,63.0,-52.0,-48.0,15.0
200,2020-09-16,,Ontario,Toronto Division,-26.0,-10.0,74.0,-51.0,-49.0,15.0
201,2020-09-17,,Ontario,Toronto Division,-27.0,-5.0,60.0,-51.0,-48.0,15.0
202,2020-09-18,,Ontario,Toronto Division,-28.0,-9.0,46.0,-49.0,-47.0,14.0
203,2020-09-19,,Ontario,Toronto Division,-24.0,-7.0,92.0,-33.0,-7.0,4.0
204,2020-09-20,,Ontario,Toronto Division,-23.0,-9.0,99.0,-34.0,-9.0,3.0
205,2020-09-21,,Ontario,Toronto Division,-29.0,-9.0,55.0,-53.0,-49.0,15.0
206,2020-09-22,,Ontario,Toronto Division,-29.0,-7.0,59.0,-52.0,-49.0,15.0
207,2020-09-23,,Ontario,Toronto Division,-29.0,-9.0,68.0,-52.0,-48.0,15.0
208,2020-09-24,,Ontario,Toronto Division,-30.0,-6.0,37.0,-52.0,-47.0,16.0
209,2020-09-25,,Ontario,Toronto Division,-30.0,-7.0,61.0,-49.0,-46.0,14.0
210,2020-09-26,,Ontario,Toronto Division,-25.0,-6.0,115.0,-32.0,-4.0,3.0
211,2020-09-27,,Ontario,Toronto Division,-25.0,-8.0,108.0,-34.0,-7.0,2.0
212,2020-09-28,,Ontario,Toronto Division,-32.0,-8.0,50.0,-54.0,-48.0,15.0
213,2020-09-29,,Ontario,Toronto Division,-31.0,-6.0,33.0,-53.0,-48.0,15.0
214,2020-09-30,,Ontario,Toronto Division,-32.0,-9.0,0.0,-54.0,-48.0,17.0
215,2020-10-01,,Ontario,Toronto Division,-29.0,-1.0,32.0,-53.0,-45.0,16.0
216,2020-10-02,,Ontario,Toronto Division,-33.0,-8.0,14.0,-51.0,-45.0,16.0
217,2020-10-03,,Ontario,Toronto Division,-28.0,-7.0,66.0,-36.0,-7.0,6.0
218,2020-10-04,,Ontario,Toronto Division,-33.0,-12.0,-12.0,-43.0,-14.0,6.0
219,2020-10-05,,Ontario,Toronto Division,-32.0,-5.0,36.0,-54.0,-47.0,16.0
220,2020-10-06,,Ontario,Toronto Division,-33.0,-6.0,39.0,-53.0,-47.0,15.0
221,2020-10-07,,Ontario,Toronto Division,-34.0,-9.0,12.0,-55.0,-47.0,17.0
222,2020-10-08,,Ontario,Toronto Division,-33.0,-3.0,14.0,-53.0,-46.0,17.0
223,2020-10-09,,Ontario,Toronto Division,-31.0,1.0,40.0,-50.0,-45.0,15.0
224,2020-10-10,,Ontario,Toronto Division,-35.0,-4.0,68.0,-39.0,-9.0,5.0
225,2020-10-11,,Ontario,Toronto Division,-34.0,-5.0,48.0,-40.0,-12.0,3.0
226,2020-10-12,,Ontario,Toronto Division,-66.0,-54.0,52.0,-75.0,-82.0,24.0
227,2020-10-13,,Ontario,Toronto Division,-36.0,-2.0,51.0,-53.0,-49.0,16.0
228,2020-10-14,,Ontario,Toronto Division,-36.0,-8.0,36.0,-54.0,-47.0,17.0
229,2020-10-15,,Ontario,Toronto Division,-41.0,-13.0,-30.0,-56.0,-48.0,20.0
230,2020-10-16,,Ontario,Toronto Division,-36.0,-5.0,32.0,-51.0,-45.0,17.0
